country,region,income_level,tax_category,year,quarter,fuel_type,avg_retail_price,avg_crude_price,retail_pct_change,crude_pct_change,impact_level,time_index
Algeria,Africa,Middle,Low Tax,2020,2,Diesel,0.06227272727272727,53.552727272727275,-15.626472855006115,-19.055732659118384,High Impact,2020-04-01
Algeria,Africa,Middle,Low Tax,2020,3,Diesel,0.08042857142857143,67.91714285714285,19.15343915343915,25.877384592980913,High Impact,2020-07-01
Algeria,Africa,Middle,Low Tax,2020,4,Diesel,0.09885714285714284,89.52857142857142,14.285714285714288,24.923588039867095,High Impact,2020-10-01
Algeria,Africa,Middle,Low Tax,2021,1,Diesel,0.11075,100.0325,27.298850574712652,14.97107501340894,High Impact,2021-01-01
Algeria,Africa,Middle,Low Tax,2021,2,Diesel,0.12280600216666666,103.88833333333334,16.514233554712195,3.2379343469475708,High Impact,2021-04-01
Algeria,Africa,Middle,Low Tax,2021,3,Diesel,0.126354501625,109.7,17.305240235411137,6.4886078406900545,High Impact,2021-07-01
Algeria,Africa,Middle,Low Tax,2021,4,Diesel,0.12275,112.365,16.2405303030303,1.850005438526532,High Impact,2021-10-01
Algeria,Africa,Middle,Low Tax,2022,1,Diesel,0.1368,122.566,11.460188996785064,8.142017681624884,High Impact,2022-01-01
Algeria,Africa,Middle,Low Tax,2022,2,Diesel,0.1491111111111111,129.42333333333335,16.189869664266954,9.37953376998381,High Impact,2022-04-01
Algeria,Africa,Middle,Low Tax,2022,3,Diesel,0.12855555555555556,117.64444444444445,-6.674732809034083,-8.739085839388373,High Impact,2022-07-01
Algeria,Africa,Middle,Low Tax,2022,4,Diesel,0.107,102.91222222222224,-14.056224899598396,-12.211535499586512,High Impact,2022-10-01
Algeria,Africa,Middle,Low Tax,2023,1,Diesel,0.0994,97.25,-13.56521739130435,-1.889076647582539,High Impact,2023-01-01
Algeria,Africa,Middle,Low Tax,2023,2,Diesel,0.112125,103.6225,6.658739595719387,8.838589396843744,High Impact,2023-04-01
Algeria,Africa,Middle,Low Tax,2023,3,Diesel,0.135,107.31428571428572,8.549518826276152,4.150202560497797,High Impact,2023-07-01
Algeria,Africa,Middle,Low Tax,2023,4,Diesel,0.1186,110.509,-4.71803881798078,2.1167085059524724,Medium Impact,2023-10-01
Algeria,Africa,Middle,Low Tax,2024,1,Diesel,0.125729501625,114.00375,35.67931830035971,2.872902003248514,High Impact,2024-01-01
Algeria,Africa,Middle,Low Tax,2024,2,Diesel,0.141,119.648,21.41104934164679,5.879437896003673,High Impact,2024-04-01
Algeria,Africa,Middle,Low Tax,2024,3,Diesel,0.1395672026,124.102,9.25025643835616,2.4186843001124467,High Impact,2024-07-01
Algeria,Africa,Middle,Low Tax,2024,4,Diesel,0.126,118.578,-8.240252908053106,-2.478959728783817,High Impact,2024-10-01
Algeria,Africa,Middle,Medium Tax,2020,1,Diesel,0.07380600216666666,66.16,8.084103591352857,0.03888192854365724,High Impact,2020-01-01
Algeria,Africa,Middle,Medium Tax,2020,2,Diesel,0.0675,53.955,8.394160583941614,0.7511713179873636,High Impact,2020-04-01
Algeria,Africa,Middle,Medium Tax,2020,3,Diesel,0.0865,71.66666666666667,7.548845470692704,5.520732545258247,High Impact,2020-07-01
Algeria,Africa,Middle,Medium Tax,2020,4,Diesel,0.087,87.00666666666666,-11.994219653179192,-2.8168714430083535,High Impact,2020-10-01
Algeria,Africa,Middle,Medium Tax,2021,1,Diesel,0.1054,100.63,-4.83069977426636,0.5973058755904297,Medium Impact,2021-01-01
Algeria,Africa,Middle,Medium Tax,2021,2,Diesel,0.10771428571428572,103.01571428571428,-12.289070718138971,-0.8399586552410959,High Impact,2021-04-01
Algeria,Africa,Middle,Medium Tax,2021,3,Diesel,0.1056,110.324,-16.425613142455386,0.5688240656335416,High Impact,2021-07-01
Algeria,Africa,Middle,Medium Tax,2021,4,Diesel,0.1227344052,113.338,-0.01270452138492104,0.8659280024918656,Low Impact,2021-10-01
Algeria,Africa,Middle,Medium Tax,2022,1,Diesel,0.12833400325,118.325,-6.188594115497083,-3.460176557936132,High Impact,2022-01-01
Algeria,Africa,Middle,Medium Tax,2022,2,Diesel,0.13775,128.91,-7.619225037257816,-0.3966312102403092,High Impact,2022-04-01
Algeria,Africa,Middle,Medium Tax,2022,3,Diesel,0.1245,117.2275,-3.1547104580812495,-0.3544106535700751,Medium Impact,2022-07-01
Algeria,Africa,Middle,Medium Tax,2022,4,Diesel,0.115,99.1225,7.476635514018698,-3.6824802150700178,High Impact,2022-10-01
Algeria,Africa,Middle,Medium Tax,2023,1,Diesel,0.105125,95.2075,5.759557344064381,-2.100257069408745,High Impact,2023-01-01
Algeria,Africa,Middle,Medium Tax,2023,2,Diesel,0.1243672026,103.038,10.91835237458194,-0.5640666843590973,High Impact,2023-04-01
Algeria,Africa,Middle,Medium Tax,2023,3,Diesel,0.12447266883333331,108.21833333333332,-7.798023086419763,0.8424298899538496,High Impact,2023-07-01
Algeria,Africa,Middle,Medium Tax,2023,4,Diesel,0.09266666666666666,110.82,-21.86621697582912,0.2814250423042402,High Impact,2023-10-01
